Transaction ID,Items
1000,"Tissue,Watch"
1001,"Watch,Umbrella"
1002,"Eraser,Pencil"
1003,"Oven,Blender,Knife"
1004,"Blender,Kettle,Pan,Knife"
1005,"Pan,Oven"
1006,"Pencil,Marker,Pen,Calculator"
1007,"Sunglass,Watch,Tissue"
1008,"Headphone,Laptop,Scanner"
1009,"Watch,Tissue,Umbrella,Sunglass"
1010,"Scanner,Printer,Headphone"
1011,"Headphone,Laptop"
1012,"Watch,Tissue,Umbrella"
1013,"Watch,Tissue,Umbrella,Wallet"
1014,"Blender,Knife"
1015,"Scanner,Laptop"
1016,"Calculator,Pencil,Eraser"
1017,"Marker,Calculator"
1018,"Blender,Knife,Pan,Oven"
1019,"Pencil,Calculator"
